"","attachment","Flat 1","Flat 2","Primary 1","Primary 2"
"3221",0.057335,0.403183966128431,0.353841391050956,0.569648113014268,0.520028207575532
"3222",0.0573683333333333,0.403260624659018,0.353918289096322,0.56973013870295,0.520103472107729
"3223",0.0574016666666667,0.403337288647758,0.353995197838697,0.569812061281319,0.520178686348414
"3224",0.057435,0.403413959332001,0.354072117708607,0.569893880910462,0.520253850286819
"3225",0.0574683333333333,0.403490637949099,0.354149049136579,0.569975597751462,0.520328963912177
"3226",0.0575016666666667,0.403567325736401,0.35422599255314,0.570057211965406,0.520404027213721
"3227",0.057535,0.403644023931259,0.354302948388815,0.570138723713378,0.520479040180685
"3228",0.0575683333333333,0.403720733771022,0.354379917074131,0.570220133156464,0.5205540028023
"3229",0.0576016666666667,0.403797456493041,0.354456899039615,0.570301440455749,0.5206289150678
"3230",0.057635,0.403874193334667,0.354533894715794,0.570382645772318,0.520703776966418
"3231",0.0576683333333333,0.40395094553325,0.354610904533194,0.570463749267256,0.520778588487387
"3232",0.0577016666666667,0.40402771432614,0.354687928922341,0.57054475110165,0.520853349619939
"3233",0.057735,0.404104500950689,0.354764968313762,0.570625651436583,0.520928060353308
"3234",0.0577683333333333,0.404181306644246,0.354842023137983,0.570706450433141,0.521002720676727
"3235",0.0578016666666667,0.404258132644161,0.354919093825532,0.570787148252409,0.521077330579427
"3236",0.057835,0.404334980187787,0.354996180806934,0.570867745055474,0.521151890050643
"3237",0.0578683333333333,0.404411850512472,0.355073284512717,0.570948241003418,0.521226399079607
"3238",0.0579016666666667,0.404488744855568,0.355150405373406,0.571028636257329,0.521300857655553
"3239",0.057935,0.404565664454424,0.355227543819528,0.571108930978292,0.521375265767712
"3240",0.0579683333333333,0.404642610546392,0.35530470028161,0.571189125327391,0.521449623405318
"3241",0.0580016666666667,0.404719584368701,0.355381875190088,0.571269219465711,0.521523930557604
"3242",0.058035,0.404796586043613,0.355459068133596,0.571349213554339,0.521598187213803
"3243",0.0580683333333333,0.404873611853205,0.355536275801441,0.571429107754358,0.521672393363148
"3244",0.0581016666666667,0.404950657253418,0.355613494259194,0.571508902226855,0.521746548994871
"3245",0.058135,0.40502771770019,0.355690719572425,0.571588597132915,0.521820654098206
"3246",0.0581683333333333,0.405104788649461,0.355767947806707,0.571668192633623,0.521894708662385
"3247",0.0582016666666667,0.405181865557171,0.35584517502761,0.571747688890064,0.521968712676641
"3248",0.058235,0.405258943879258,0.355922397300706,0.571827086063323,0.522042666130208
"3249",0.0582683333333333,0.405336019071662,0.355999610691566,0.571906384314485,0.522116569012318
"3250",0.0583016666666667,0.405413086590322,0.356076811265762,0.571985583804637,0.522190421312204
"3251",0.058335,0.405490141891178,0.356153995088864,0.572064684694862,0.522264223019099
"3252",0.0583683333333333,0.405567180430168,0.356231158226445,0.572143687146247,0.522337974122236
"3253",0.0584016666666667,0.405644197663232,0.356308296744074,0.572222591319877,0.522411674610848
"3254",0.058435,0.40572118904631,0.356385406707325,0.572301397376835,0.522485324474167
"3255",0.0584683333333333,0.40579815003534,0.356462484181767,0.572380105478209,0.522558923701428
"3256",0.0585016666666667,0.405875076086262,0.356539525232973,0.572458715785084,0.522632472281861
"3257",0.058535,0.405951962655016,0.356616525926513,0.572537228458543,0.522705970204702
"3258",0.0585683333333333,0.406028805197539,0.356693482327959,0.572615643659674,0.522779417459182
"3259",0.0586016666666667,0.406105599169773,0.356770390502882,0.57269396154956,0.522852814034534
"3260",0.058635,0.406182340027656,0.356847246516854,0.572772182289287,0.522926159919991
"3261",0.0586683333333333,0.406259023227127,0.356924046435445,0.57285030603994,0.522999455104787
"3262",0.0587016666666667,0.406335644224126,0.357000786324227,0.572928332962606,0.523072699578153
